ISic,in metadata spreadsheets,analysed yes/no,interpreted,to check?,checked?,type,,subtype,comments,identification based on,string of analyses,photo nextcloud/Isicily?,pXRF pXRF/,dilite in situ digital microscopy/,XRD on sample XRD/,thin section optical microscopy/,isotopes stable isotopes analysis/,EPR EPR/,LA-ICP-MS LA-ICP-MS/,sample yes/,dilite on sample yes/,same object as,Id,roman marbles,After,Before,Ancient,Modern,Material,Inscription Type,Execution Type,Language,Museum,
ISic000075,,no,no,,,stone.limestone,FALSE,unspecified,,identification based on visual observation only,visual observation only,,,,,,,,,,,,ISic000075,,-300,-101,Lilybaeum,Marsala,limestone,dedication,chiselled,Punic,Museo Archeologico Regionale Antonino Salinas,
ISic000076,,no,no,,,,FALSE,unverified,,no verification,"no analyses, no visual identification",no,,,,,,,,,,,ISic000076,,,,Panhormus,Palermo,stone,dedication,chiselled,Punic,unknown,
ISic000077,,no,no,,,,FALSE,unverified,,no verification,"no analyses, no visual identification",no,,,,,,,,,,,ISic000077,,-300,-101,Lilybaeum,Marsala,limestone,dedication,chiselled,Punic,Museo Whitaker,
ISic000078,,no,no,,,,FALSE,unverified,,no verification,"no analyses, no visual identification",no,,,,,,,,,,,ISic000078,,-400,-201,Selinus,Selinunte,sandstone,dedication,chiselled,Punic,Museo Archeologico Regionale Antonino Salinas,
ISic000080,,no,no,,,stone.unspecified,FALSE,unspecified,,identification based on visual observation only,visual observation only,,,,,,,,,,,,ISic000080,,301,600,Ietas,Monte Iato,marble,funerary,chiselled,Latin,depot of the Zurich Ietas excavation,
ISic000081,,no,no,,,,FALSE,unverified,,no verification,"no analyses, no visual identification",no,,,,,,,,,,,ISic000081,,1,300,Cephaloedium,Cefalù,marble,funerary,chiselled,Latin,,
ISic000082,,no,no,,,,FALSE,unverified,,no verification,"no analyses, no visual identification",no,,,,,,,,,,,ISic000082,,401,600,,Castronuovo di Sicilia,stone,terminus,chiselled,Latin,Museo Archeologico Regionale Antonino Salinas,
ISic000083,,no,no,,,stone.marble,FALSE,unspecified,,identification based on visual observation only,visual observation only,,,,,,,,,,,,ISic000083,,301,329,Catina,Catania,marble,funerary,chiselled,Latin,Louvre,
ISic000084,,no,no,,,,FALSE,unverified,,no verification,"no analyses, no visual identification",no,,,,,,,,,,,ISic000084,,602,602,Panhormus,Palermo,marble,funerary,chiselled,Latin,Museo Archeologico Regionale Antonino Salinas,
ISic000085,ISic000085,yes,no,,,stone.limestone,TRUE,,,identification based on digital microscopy,digital microscopy,,,digital microscopy,,,,,,,,,ISic000085,,218,222,Thermae Himeraeae,Termini Imerese,limestone,dedication,chiselled,Latin,Museo Civico Baldassare Romano,
ISic000086,ISic000086,yes,,,,stone.breccia,TRUE,,,"identification based on pXRF, digital microscopy","pXRF, digital microscopy",,pXRF,digital microscopy,,,,,,,,,ISic000086,,1,200,Thermae Himeraeae,Termini Imerese,marble,dedication,chiselled,Latin,Museo Civico Baldassare Romano,
ISic000087,,no,no,,,,FALSE,unverified,,no verification,"no analyses, no visual identification",no,,,,,,,,,,,ISic000087,,-27,14,Thermae Himeraeae,Termini Imerese,stone,dedication,chiselled,Latin,unknown,
ISic000088,,no,no,,,,FALSE,unverified,,no verification,"no analyses, no visual identification",no,,,,,,,,,,,ISic000088,,4,14,Thermae Himeraeae,Termini Imerese,stone,dedication,chiselled,Latin,unknown,
ISic000089,,no,no,,,,FALSE,unverified,,no verification,"no analyses, no visual identification",no,,,,,,,,,,,ISic000089,,161,200,Thermae Himeraeae,Termini Imerese,stone,dedication,chiselled,Latin,unknown,
ISic000090,ISic000090,yes,no,,,stone.limestone,TRUE,,,identification based on digital microscopy,digital microscopy,,,digital microscopy,,,,,,,,,ISic000090,,195,211,Thermae Himeraeae,Termini Imerese,limestone,dedication,chiselled,Latin,Museo Civico Baldassare Romano,
ISic000091,ISic000091,yes,no,,,stone.limestone,TRUE,,,identification based on digital microscopy,digital microscopy,,,digital microscopy,,,,,,,,,ISic000091,,196,197,Thermae Himeraeae,Termini Imerese,limestone,honorific,chiselled,Latin,Museo Civico Baldassare Romano,
ISic000092,ISic000092,yes,yes,yes,yes,stone.limestone,TRUE,,,"identification based on pXRF, digital microscopy, XRD, optical microscopy","pXRF, digital microscopy, XRD, optical microscopy",,pXRF,digital microscopy,XRD,optical microscopy,,,,yes,yes,,ISic000092,no,240,270,Thermae Himeraeae,Termini Imerese,limestone,honorific,chiselled,Latin,Museo Civico Baldassare Romano,
ISic000093,ISic000093,yes,no,,,stone.limestone,TRUE,,,identification based on digital microscopy,digital microscopy,,,digital microscopy,,,,,,,,,ISic000093,,201,300,Thermae Himeraeae,Termini Imerese,limestone,honorific,chiselled,Latin,Museo Civico Baldassare Romano,
ISic000094,,no,no,,,,FALSE,unverified,,no verification,"no analyses, no visual identification",no,,,,,,,,,,,ISic000094,,-21,41,Thermae Himeraeae,Termini Imerese,stone,honorific,chiselled,Latin,unknown,
ISic000095,ISic000095,yes,yes,yes,yes,stone.breccia,TRUE,,,"identification based on pXRF, digital microscopy, XRD, optical microscopy","pXRF, digital microscopy, XRD, optical microscopy",,pXRF,digital microscopy,XRD,optical microscopy,,,,yes,yes,,ISic000095,,-21,14,Thermae Himeraeae,Termini Imerese,breccia (di San Marco),honorific,chiselled,Latin,Museo Civico Baldassare Romano,
ISic000096,ISic000096,yes,,,,stone.breccia,TRUE,,,identification based on digital microscopy,digital microscopy,,,digital microscopy,,,,,,,,,ISic000096,,-21,14,Thermae Himeraeae,Termini Imerese,breccia (di San Marco),honorific,chiselled,Latin,Museo Civico Baldassare Romano,
ISic000097,ISic000097,yes,yes,no,no,stone.marble,TRUE,,,"identification based on pXRF, digital microscopy, XRD, optical microscopy, stable isotopes analysis","pXRF, digital microscopy, XRD, optical microscopy, stable isotopes analysis",,pXRF,digital microscopy,XRD,optical microscopy,stable isotopes analysis,,,yes,yes,,ISic000097,yes,51,150,Thermae Himeraeae,Termini Imerese,limestone,honorific,chiselled,Latin,Museo Civico Baldassare Romano,
